# language_name_wals:	Khalkha
# language_name_glotto:	Halh Mongolian
# ISO_6393:	khk
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	New Testament Portions in Halh Mongolian. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.biblesos.org/mn/Abrahamyn-udam-Davidyn-udam-Yesus-Hristiin-ugiin-bichig/
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40006014	Uchir ni , herev ta nar humuusiin aldaag uuchilbal tengerleg Etseg tani ta naryg mon uuchilna .
40006015	Harin herev ta nar humuusiig uuchlahgui bol Etseg tani mon ta naryn aldaag uuchlahgui .
40006016	Chi matsag barihdaa hoyor nuurt humuus shig buu bargar tsarail . Uchir ni ted matsag barij baigaagaa humuust haruulahyn tuld nuur tsaraigaa barailgadag baina . Uneneer Bi ta nart heliye , ted shagnalaa buren avsan yum .
40006017	Harin ta nar matsag barihdaa tolgoigoo toslood , nuuree utaa .
40006018	Ingesneer ta nar matsag barij baigaagaa humuust haruulahgui , harin nuutsaar orshigch Etsegtee haruulna . Tegeed nuutsaar hardag Etseg tani ta nart butsaaj tolno .
40006019	Gazar deer oorsoddoo ed bayalag buu huraa . Tend hiven horhoi bolood zev idej suitgedeg , hulgaich evdej orood hulgailan avdag aj .
40006020	Harin tengert ed bayalgiig oorsoddoo huraa . Uchir ni tend hiven horhoi bolood zev idejsuitgedeggui , hulgaich ch evdej ordoggui , hulgaildagtui .
40006021	Ta naryn ed bayalag haana baina , zurh setgel chini bas tend baih bolno .
40006022	Nud bol biyeiin denluu mon . Herev nud chini tsever bol buten biye chini gerleer duuren baih bolno .
40006023	Harin nud chini muu bol buten biye chini haranhuigaar duuren baih bolno . Iimd herev chinii dotorh gerel ni haranhui baih yum bol , terhuu haranhui ni yuutai ih ve !
40006024	Hen ch hoyor ezend uilchilj chadahgui . Ter negiig ni uzen yadaj , nogoog ni hairlah bolno . Esvel negees ni zuurch , nogoog ni zevuutsne . Ta nar Burhan bolood ed bayalagt hoyouland ni zereg uilchilj chadahgui .
40006025	Iim uchraas Bi ta nart heliye . Amiinhaa toloo yuu ideh bilee , yuu uuh bilee gej buu sanaa zov . Biyeiinhee toloo yuu omsoh bilee gej ch buu sanaa zov . Ami ni hoolnoos , biye ni huvtsasnaas iluu bish uu ?
